#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	2.1278859453133312E-4
20.0	0.0
21.0	3.191828917969997E-4
22.0	2.1278859453133312E-4
23.0	6.383657835939994E-4
24.0	0.0
25.0	0.001915097350781998
26.0	0.002872646026172997
27.0	0.00617086924140866
28.0	0.011384189807426321
29.0	0.01425683583359932
30.0	0.016916693265240982
31.0	0.019682944994148313
32.0	0.02936482604532397
33.0	0.0337269922332163
34.0	0.0378763698265773
35.0	0.052558782849239274
36.0	0.043408873284391955
37.0	0.0566017661453346
38.0	0.04234493031173529
39.0	0.03553569528673264
40.0	0.029471220342589637
41.0	0.0324502606660283
42.0	0.028939248856261306
43.0	0.014363230130864987
44.0	0.027875305883604637
45.0	0.0381955527183743
46.0	0.03234386636876264
47.0	0.024789871262900304
48.0	0.025853814235556976
49.0	0.02361953399297798
50.0	0.02596020853282264
51.0	0.01936376210235131
52.0	0.011596978401957654
53.0	0.01915097350781998
54.0	0.0321310777742313
55.0	0.023300351101180974
56.0	0.009043515267581657
57.0	0.017023087562506648
58.0	0.02510905415469731
59.0	0.02074688796680498
60.0	0.013831258644536652
61.0	0.010533035429300987
62.0	0.011065006915629321
63.0	0.01851260772422598
64.0	0.010533035429300988
65.0	0.008405149483987656
66.0	0.00617086924140866
67.0	0.005532503457814661
68.0	0.012980104266411321
69.0	0.004574954782423662
70.0	0.0023406745398446647
71.0	0.001276731567187999
72.0	0.0014895201617193318
73.0	9.575486753909991E-4
74.0	0.0015959144589849984
75.0	0.0010639429726566657
76.0	4.2557718906266625E-4
77.0	6.383657835939995E-4
78.0	2.1278859453133312E-4
79.0	1.0639429726566656E-4
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	4.2557718906266625E-4
