#Read position (bp)	Clipping profile
0.0	22.78719397363465
1.0	1.4438166980539862
2.0	1.0253191044151497
3.0	0.857920066959615
4.0	0.8021203878077702
5.0	0.7463207086559253
6.0	0.7253958289739835
7.0	0.7044709492920416
8.0	0.6905210295040803
9.0	0.6347213503522355
10.0	0.6207714305642742
11.0	0.5998465508823324
12.0	0.5998465508823324
13.0	0.5928715909883518
14.0	0.5858966310943712
15.0	0.5789216712003906
16.0	0.57194671130641
17.0	0.5579967915184488
18.0	0.5510218316244682
19.0	0.5440468717304876
20.0	0.3068982353351468
21.0	0.2999232754411662
22.0	0.285973355653205
23.0	0.2789983957592244
24.0	0.2720234358652438
25.0	0.2580735160772825
26.0	0.2580735160772825
27.0	0.2301736765013601
28.0	0.2301736765013601
29.0	0.2301736765013601
30.0	0.2301736765013601
31.0	0.6347213503522355
32.0	0.2301736765013601
33.0	0.2301736765013601
34.0	0.2301736765013601
35.0	0.2301736765013601
36.0	0.2301736765013601
37.0	0.22319871660737953
38.0	0.2162237567133989
39.0	0.2162237567133989
40.0	0.22319871660737953
41.0	0.2162237567133989
42.0	0.2162237567133989
43.0	0.2162237567133989
44.0	0.2162237567133989
45.0	0.2162237567133989
46.0	0.2162237567133989
47.0	0.2162237567133989
48.0	0.2162237567133989
49.0	0.2162237567133989
50.0	0.20227383692543766
51.0	0.18134895724349587
52.0	0.18134895724349587
53.0	0.17437399734951523
54.0	0.7742205482318477
55.0	0.17437399734951523
56.0	0.17437399734951523
57.0	0.18134895724349587
58.0	0.18134895724349587
59.0	0.18134895724349587
60.0	0.9974192648392272
61.0	1.4019669386901026
62.0	0.19529887703145707
63.0	0.19529887703145707
64.0	0.19529887703145707
65.0	0.19529887703145707
66.0	5.328869359001185
67.0	0.16739903745553464
68.0	0.16739903745553464
69.0	0.16042407756155402
70.0	0.16739903745553464
71.0	0.16739903745553464
72.0	0.16739903745553464
73.0	0.16739903745553464
74.0	0.16739903745553464
75.0	0.16739903745553464
76.0	0.17437399734951523
77.0	0.17437399734951523
78.0	0.17437399734951523
79.0	0.17437399734951523
80.0	0.17437399734951523
81.0	0.17437399734951523
82.0	0.17437399734951523
83.0	0.17437399734951523
84.0	0.17437399734951523
85.0	0.18134895724349587
86.0	0.18832391713747645
87.0	0.18832391713747645
88.0	0.2162237567133989
89.0	0.2162237567133989
90.0	0.2162237567133989
91.0	0.2162237567133989
92.0	0.2162237567133989
93.0	0.2162237567133989
94.0	0.2162237567133989
95.0	0.2162237567133989
96.0	0.2162237567133989
97.0	0.2162237567133989
98.0	0.09764943851572853
99.0	0.09764943851572853
100.0	0.09764943851572853
101.0	0.09764943851572853
102.0	0.09764943851572853
103.0	0.09764943851572853
104.0	0.09764943851572853
105.0	0.10462439840970915
106.0	0.11159935830368976
107.0	0.11159935830368976
108.0	0.11159935830368976
109.0	0.11857431819767036
110.0	0.11857431819767036
111.0	0.10462439840970915
112.0	0.10462439840970915
113.0	0.10462439840970915
114.0	0.10462439840970915
115.0	0.11159935830368976
116.0	0.11159935830368976
