"CDR017-DIL"	"CDR025"	"CDR021"	"CDR029-DIL"	"CDR022"	"CDR018"	"CDR026-DIL"	"CDR030-DIL"	"CDR031-DIL"	"CDR023"	"CDR027-DIL"	"CDR019"	"CDR020"	"CDR028-DIL"	"CDR032-DIL"	"CDR024"
"ILMN_1237529"	148.85370625	122.107636875	119.9140375	131.76215	141.4040875	143.96694375	166.962625	138.4033875	120.882648125	140.1623375	127.073225	141.4040875	139.335075	145.61169375	143.0773	131.07861875
"ILMN_2698606"	1394.1235125	1215.14716875	1413.26638125	1133.63441875	1803.9235625	1237.6670125	1229.01768125	1112.35626875	1113.83363125	1418.5795625	887.8875125	1217.45435625	1445.528	934.17030625	1028.589375	1541.3610625
"ILMN_2695526"	1074.1825625	1042.00929375	1003.6911625	882.18558125	1601.1688125	1030.10514375	1112.35626875	854.99735625	916.6208875	1193.99459375	705.98616875	874.18005625	1141.74559375	761.4475375	899.8158	1082.82698125
"ILMN_2695528"	1435.8101875	1313.45749375	1265.327025	1051.49076875	1712.9796875	1274.3487	1300.52404375	1133.63441875	1001.74539375	1376.17988125	918.47605	1152.5140625	1408.44643125	978.18965625	1050.24421875	1475.72125
"ILMN_1222829"	1408.44643125	1330.8783	1314.895575	1405.81893125	1159.489775	1321.35028125	1303.7116	1403.350275	1351.6376	1321.35028125	1251.42295	1569.15675	1354.34208125	1276.95708125	1291.7907625	1360.29693125
"ILMN_2669699"	380.52413125	407.921325	306.98319375	433.3673375	401.43568125	445.96159375	625.61735625	797.94845625	620.91896875	353.18153125	337.05235	476.6074	436.54803125	435.0936125	663.6307	496.31449375
"ILMN_2661005"	3128.8241875	2979.4065	3658.6510625	3948.7111875	3761.2193125	3469.855625	3042.4014375	3738.920875	3658.6510625	3832.903375	3081.87775	3061.8775625	3270.1041875	2777.01275	3641.6975	3226.965
"ILMN_2674655"	274.72690625	247.1646875	248.38111875	275.6885125	275.6885125	266.33793125	297.00449375	273.00749375	276.7179375	252.718175	315.86405	278.0741625	247.1646875	301.23424375	310.58943125	263.842925
"ILMN_2647669"	186.96800625	233.35624375	180.892275	208.0264875	240.40243125	197.24515625	207.61158125	203.7036375	205.100125	193.043575	221.72159375	230.55338125	200.3612125	240.5617625	245.65989375	221.3074625
"ILMN_2684563"	548.52860625	588.19000625	536.30255	540.51569375	511.8949625	601.505725	589.02404375	534.0548125	560.39495	593.84244375	654.55994375	563.2545375	579.673675	750.7542125	597.8765375	613.03275
